,polarity,text
1595,positive,lovely ...what about delivery
908,neutral,@JumiaKenya Why are your offices in kisumu closed? Yet yesterday you sent me a reminder to come and pick my package.
1436,positive,Thanks for the feedback
1320,neutral,"@JumiaKenya kindly confirm for me the status of this order no, 305277886."
1373,neutral,302764996
1343,negative,"@JumiaKenya HI, I had returned a package & I have just received it back about an hour ago but it still have the same issue it had."
1765,negative,"@JumiaKenya you don't serve people as they wish,why would you council orders your customers do!?!! #fake"
1784,neutral,@JumiaKenya Hello jumia am Hurryson from Rombo and i want to buy infinix S8 how much does it cost
1677,negative,In a click of a button?
17,negative,"GS, I'm still dissatisfied by the response given."
1177,positive,"Nope I'm good, I sorted and managed to buy"
1602,positive,awesome
1504,neutral,iyo ndula ni bazenga
198,negative,"@JumiaKenya Hi, is Lightwave Tv smart TV? I bought one during flash sales and I am still forced to use the decoders. Emails aren't replied"
703,negative,"@JumiaKenya where is my order 308435186, it is almost a week now, kwani hapa Githurai 45 ni mbali. Deliver kesho please"
1103,positive,Thank you very much for the assistance rendered.
676,neutral,@JumiaKenya I need assistance @jumia call 0716575105
1591,neutral,Thanks
380,neutral,3
350,neutral,@JumiaKenya do you deliver product at garissa?
310,neutral,@jumiakenya The option for lipa na mpesa is not available when im trying to place an order kindly assist
21,neutral,"Where is it located,?"
843,negative,@JumiaKenya cancel my order #301673186. Thanks
292,neutral,Yes ILIFE ZED AIR PRO How can i get it please.
480,negative,"that's too long, why don't you opt for wellsfargo or G4s? I thought within 48 hrs I'll be having it."
869,negative,"@JumiaKenya what happened to my delivery? Its now 7 days and no communication,no response to my email, no picking of calls..."
1692,neutral,@JumiaKenya hi i got an issues how do i air it
770,negative,@JumiaKenya Why did you cancel my order 308326186? Proceed to make a new order 304828386.
116,neutral,305634276
1305,neutral,@JumiaKenya where are your offices in mombasa I need some help and information.
1282,negative,"@JumiaKenya its 3 pm and no delivery yet.so lemmi write it again, if not delivered by today cancel my order and process refund."
403,neutral,Refurbished phones
688,neutral,Will I be double billed?
1782,neutral,@JumiaKenya chek ur DM
1360,negative,@JumiaKenya If i dont get Order 307217196 by monday; please start processing my money back.
1326,neutral,I got a text from you yesterday that the order will be delivered within 24hours from yesterday. How comes now you aren't specific on time?
30,negative,I hope it wont take too long. These were gifts for my children and they are very disappointed. I suggest you replace the two faulty units.
658,neutral,I misplaced my invoice. Could you help me out. Order was 306574496. They want a copy.
183,neutral,@JumiaKenya hello if I order can i get delivery to whre I am and do I pay anything?!
1758,neutral,my order number is 301631112
182,negative,@JumiaKenya kindly check my dm
1757,neutral,"@JumiaKenya why is my order taking more than two weeks, still waiting?"
1348,neutral,Can I get one the alcatel pixi 3 today... I can come to your offices
842,negative,Good morning order 302611986 any update coz I need fon my work has stopped please pick my call .or reply me back. Waiting for your reply
857,negative,@JumiaKenya Hello. It's been almost 3 weeks since I made & paid for order number 306362986 & still haven't received some of the items yet.
1454,neutral,Thank but i am waiting for the feedback today.
54,neutral,Hey how much does oppo f1 plus cost in jumia
1159,neutral,Still seeking clarity on this
488,neutral,308815386
735,negative,@JumiaKenya i would like to buy the Tecno Camon Cx 5'5. Are there any other colours?
1651,neutral,307983686 in package WHF-307983686-MOR -
464,neutral,OB28/18/8/2017
216,negative,"I have already waited for 21days hope u just deliver today only coz tommoro Saturday and on Monday I will be heading to msa,"
1465,negative,@JumiaKenya and remember your customer care numbers are being disconnected.
1392,negative,@JumiaKenya why are you guys not responding to my emails about my package i ordered from you sometime back?
1657,neutral,Do make contact when the delivery is made. Appreciated
1398,negative,@JumiaKenya Kindly please cancel my order #309624886
1533,neutral,@JumiaKenya kindly follow back. I want to DM
583,neutral,@ammyambrose
1576,neutral,@JumiaKenya Hello Want to know when my order is going to come? order no 306142986
1336,neutral,Diaper Friday and Unga Monday
1770,negative,@JumiaKenya just tried purchase something using your app and pay using mpesa i was not able and i have headache
434,negative,"@JumiaKenya Today is the 6th day. My order 307939386 has not been shipped. Kindly, why does it take this long??"
964,neutral,Myself and i
476,neutral,@JumiaKenya Do you sell a Mannequin Necklace Jewelry Display Holder? Like the one shown in the photo. I would like to place an order. pic.twitter.com/H6Wtbl7oeU
859,neutral,@JumiaKenya we are here waiting for your complementary memory card https:// twitter.com/bonfiresafaris /status/895683233316298752 …
269,neutral,"Since you didn't have partnership with Kabarnet Posta, I decided to order the item to Nakuru. I will be there on Friday on other duties."
410,neutral,"@JumiaKenya I ordered an item with the order number 302242276,please confirm it,thank you."
1267,negative,@JumiaKenya Can I please understand this calculations here! I have been trying... pic.twitter.com/y16Pxmmn6o
315,positive,I have been contacted by call and sorted thanks
1189,neutral,@JumiaKenya Innjoo Max 4 inadunda lini?...
15,negative,placed an order 305657976 of two items but only one has been delivered.amount recorded on the sheet is lesser than what I paid.
1067,negative,"Received your text message that my order is already for pick, why 3-5 days again?"
417,negative,"called them, didn't seem to know anything about Jumia. You said you'd get back about questions on the screenshot. Still waiting. pic.twitter.com/GFuAX1XLBf"
1796,negative,Even worse. How long do you people take for a return.... Its been more than 24 days already... Call me on 0724133834
436,negative,@JumiaKenya hello jumia i have been shopping with since 2014 ..i need to order a tv bt am experiencing difficulties to order...
358,neutral,hope you notify me the day to recieve it
834,neutral,"@jumiakenya just to inquire, what's the current status of O.N 302563186 ?"
680,negative,"@JumiaKenya I got a refund voucher worth 3749/-, but when i use it, it says its worth 949/-. Kindly help"
939,neutral,@JumiaKenya What do I pay for if i want a product being shipped? Only the price?
1195,neutral,@JumiaKenya alcatel pixi 3hw much does it go for?
267,positive,thank you
1156,neutral,301792586
879,negative,Should go pick it up and bring it to your warehouse? I am tired of you people giving me excuses! It was CM now you NW. Nkt am so mad
898,negative,@JumiaKenya Still waiting for my order from 2 weeks ago...
268,negative,Kindly if possible fasten the process. Paid it online to make delivery process easier. I hope you will consider that.
230,negative,@JumiaKenya #302774826 why have the return not bn conpleted?
1083,negative,@JumiaKenya please cancel #301835586
135,negative,@JumiaKenya WHY IS YOUR SERVICE CENTER ASKING ME TO PAY FOR A ONE MONTH OLD iPHONE THAT I DIDN'T SPOIL? JUST WENT DEAD HOW IS THAT MY FAULT?
1302,neutral,DZ09 - 1.56 Smart Watch - 128MB ROM - 64MB RAM - 0.3MP Camera - Black and SI2084 - Dry Iron Box - 1200W - White
767,neutral,"@JumiaKenya Hi, i paid for order 302954386 and i have recieved emails saying it has been cancelled. i paid via paypal. Thanks"
1386,neutral,@JumiaKenya When is my order no.303916886 paid on order be delivered? 0707235206
929,negative,Guys mko n'a shida gani n'a parcel yangu do u think we gote whole day to beg u respond to us
1309,negative,"Not really,I went to check on my own bcz I've been receiving text msgs that I need to pick my item or it will be shipped back to Nrb."
1537,neutral,"So to clarify, it will be delivered today?"
755,negative,@JumiaKenya Kindly check for me order number 302543186 I have a text informing me that an email was sent but I have received none
1500,negative,"Its understandable, in such a case u shld take responsibility and not cancel orders without trying ur best. Let me know how am getting mine"
451,positive,^GS. You're awesome at your job. Satisfied customer here. #GoJumia !!
1030,negative,"I received my laptop yesterday, but the mousepad is not working."
34,neutral,"Its fyn, just hoping I get #PES2018 in your store ."
335,negative,@JumiaKenya i would like to cancel order 304898276. Thanks
1604,negative,Thats not fair
363,neutral,"A Samsung galaxy j5 prime to kapkatet,kericho county."
798,negative,I never got the refund! Kindly check on your end or send me the MPESA reference number.
1487,negative,@JumiaKenya good morning. I ordered speakers which were rightfully delivered. However after connection I realised one speaker is faulty.
1022,negative,@JumiaKenya the package I received does not correspond to what I ordered on the web. I would like to return it and be refunded.
1021,negative,@JumiaKenya when will i receive my phone that i ordered since 24/07/2017. my order no. 306789986. am really mad at you.
525,neutral,"Hi BEN, your order 302937386"
1720,negative,I just need clear timeline and constant update. How can I be patient if you keep me in the dark?
329,neutral,306272476
1313,negative,"@JumiaKenya its now 11 days since I placed an order and paid for a phone,order no.303673286..up to now I have not received it?..wassup?"
1258,neutral,@JumiaKenya Hi. Just wanted to know what mpesa no. and a/c no. to pay on if items are being brought by rider.
243,neutral,peterprofowino@gmail.com
1107,neutral,@JumiaKenya Kindly reach me on 0724267863 ASAP!!! Thank you.
432,negative,Okay but you didn't tell me the price
1698,negative,"@JumiaKenya my order no:#303719286, I have not yet received the product:mini wireless bluetooth 4.0 stereo in-earphone-Black. Please assit"
141,negative,Covers are only found I need aphone
657,neutral,Send the invoice to Faithkibet95@gmail.com
803,positive,@JumiaKenya Thanks a lot got the phone I ordered for.
424,neutral,I was a day scholar
1063,neutral,way forward coz am.travelling by 2
422,neutral,please cancel i re-order
631,negative,"@JumiaKenya Hey, wanted to inquire on status of Jumia order no 303899986 since its a week overdue and no communication has been made."
1439,neutral,Follow me
132,negative,@JumiaKenya WHY ARE YOU CONS IGNORING MY TWEETS & CALLS?
654,neutral,I bought a hotwav v17.. I've returned it to the service centre immediately it was brought.. I've taken it today..
891,neutral,how much longer?
644,neutral,pic.twitter.com/kUtS67elHf
614,positive,thanks
300,positive,"Far-fetched but I thought I'd ask anyways. Nonetheless, a 4/5. Not bad."
1105,neutral,"@JumiaKenya Good afternoon, is anyone available here to help me with resetting my password?"
1755,negative,I haven't received my order yet.
804,neutral,Proof...I want my package tomorrow Saturday pic.twitter.com/LoJqucyJ61
1193,neutral,@JumiaKenya
25,positive,Great! thanks.
177,positive,Ok thanks.but assist me with paybill number please
317,neutral,See the cursor pic.twitter.com/U8eBtTHBfI
1344,negative,@JumiaKenya . Are your services bad as the one I've recently experienced? The iPad toy you delivered is broken and I can't reach you!!
1518,negative,An attempt? Without contacting me?
218,neutral,@JumiaKenya hey i would like to be alerted via sms when my package arrives in nakuru. dont have a phone currently...order no 309776676.
1535,neutral,@JumiaKenya check order No. 303698296 https:// twitter.com/jumiakenya/sta tus/890126629665742848 …
1490,negative,You have many hidden charges
811,negative,That guy pretend that he had called me two time even I think he doesn't know south b
167,negative,@JumiaKenya I am disappointed that my order has not arrived 2days later. I doubt I'll use this service again.
743,neutral,"The payment details from paypal : Aug 11, 2017 04:40:29 PDT Receipt No:1272-3504-6152-6731"
1206,negative,Kindly cancel the order
641,negative,Why are my order details different? The order details reads 1-4days
340,neutral,@JumiaKenya what's your paybill number
1054,neutral,301258786 ..
1542,negative,@JumiaKenya please inform when my order will be delivered becoz am about to cancel it. order no 304949686
1028,neutral,@JumiaKenya hi. So when you text that I collect my order tomorrow. Is that a deadline? Can I collect it on Thursday? WE-301883686-QEU
1545,negative,@JumiaKenya I have received an email with no phone call confirmation on parcel WHF-302791986-lox kindly confirm if it is coming to me
545,negative,@JumiaKenya what's the status of this order 308777386. I haven't heard anything from you since 14th.
919,neutral,"@JumiaKenya , Hi Hannington, your order 306332586 has been confirmed! When should I expect delivery? Or should I reorder?"
1276,negative,@JumiaKenya Im so unhappy. It's a week since a refund of order 309743686 was to be effected within 48 hours. Leo I'm told to wait for 48hrs
1456,neutral,I have sent a DM with the information kindly confirm receipt.
730,neutral,@JumiaKenya are there any other colour for the Tecno Camon CX 5'5?
1207,,
1777,negative,@jumiaKenya I want to return a product order number 301274686 because it seems to shut down now and then
503,negative,@JumiaKenya i have an issue with a device I bought. Please help
101,negative,"@JumiaKenya Hi, How do i cancel an order?"
1268,negative,@JumiaKenya Are these prices for real? I suspect a pricing error. That is over 1828 dollars. pic.twitter.com/a6gXwAxWro
782,negative,"Kindly take this machine and refund me so that I can buy a new one, or bring me what I ordered. This is turning to be a nightmare."
1665,neutral,301881896
1470,neutral,"yes, somebody has but right now am at work but as soon as I test it correctly I'll let you guys know. Thank you."
1458,positive,Thank you. My apologies for any inconveniences caused.
1026,neutral,any updates on this??
1369,neutral,Yeah thanks
330,neutral,hey how much is Huawei p9 lite
122,negative,@JumiaKenya why can't I get kisii pickup point as an option when purchasing
777,neutral,@JumiaKenya where you located in Bungoma
313,neutral,"I need to place an order ASAP, any other alternative ways of doing so?"
1355,positive,fantastic congrats
1798,neutral,Would you mind explaining to me in the dm? Kindly follow back for that.
364,neutral,"@JumiaKenya how much do you charge for transportation out of Nairobi-to kapkatet, kericho county"
322,negative,And the plot thickens so now either i take the phone or loose my money.. @InfinixKenya pic.twitter.com/nJxzCQUBw2
1452,negative,@JumiaKenya aye jumia need to DM kindly follow back
1158,neutral,My order no is 308891886
926,neutral,That means paying in physical CASH in exchange for your physical goods delivered
333,negative,@JumiaKenya Cheap is expensive; even after warranty still bearing stress of cheap phone. Am starting to be weary of your source.
1405,negative,@JumiaKenya i feel frustrated by the whole issue bearing no communication on what is going on. This is making my patience to wear out.
409,negative,Nyinyi kwanza mlikataa kuniuzia jacket
81,neutral,"Skyworth 32 smart TV."""
1534,neutral,I don't think you understood me.
65,positive,Thanks
27,positive,Thank You
259,negative,The package was supposed to be prepaid yet I've nt received any confirmation from you
1173,neutral,muchangialfred2@gmail.com
289,neutral,"Add to cart'' and then?."""
1708,neutral,@JumiaKenya Kindly update on order 308539686. Are the items being shipped separately?
1732,negative,I tried and its not working
600,negative,U guys should have sent me a message instead of waiting for me to contact u first.. easy tho
1607,neutral,Thanks
53,neutral,"@JumiaKenya i placed my order yesternight, can it be dropped at chuka tommorow?"
1308,negative,@JumiaKenya Hi jumia. I can't find BOMET on the drop down menu of pickup stations. Kindly help. Call me on 0727110271
297,neutral,okay.
495,neutral,@JumiaKenya can this be delivered today (order 305653386) please
1300,neutral,@JumiaKenya confirm status of order 304866786 and 305883486
426,negative,"Is there an intention to effect delivery, as this was a prepaid order? Paid up customers are usually mistreated is this policy ask Adrian."
1011,neutral,"Alright,thanks"
324,neutral,@jumiakenya has my order been shipped? and if so when is the expected date of delivery :301813386
887,positive,Ok thanks you very much thats y I shop in jumia.
1266,neutral,1 out of stock item(s) in your order 305277886 were cancelled. We apologize for the inconvenience and will call you shortly for assistance
349,negative,@JumiaKenya saw this?? https:// twitter.com/missripplez/st atus/899175673859895296 …
617,neutral,Maybe
1415,negative,@JumiaKenya it's the 10th day since I ordered 307979286. Can I cancel the order and get my money back?
1558,neutral,Other than these terms https://www. jumia.co.ke/terms-and-cond itions/ … are there special terms and conditions for black friday or other on offer deals?
794,negative,@JumiaKenya when are you delivering for me my power bank..order no 308594386???I have paid for it
1099,neutral,"Good evening, I decided to pay for item that I ordered via M-pesa, has it been effected on your end?"
1629,positive,My order is through
1029,neutral,Where is the pick up location?
791,negative,i regret buying anything on this site have made payments for item that came and you dont want to deliver
98,neutral,Something of this sort pic.twitter.com/XwIKl2ppH6
